[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[8/6/23, 1:55:00 p. m.] Movimientos diarios: ‎Creaste este grupo.
‎[12/5/25, 6:57:13 p. m.] Facu: Caro limpieza ofi ‎<adjunto: 00000247-PHOTO-2025-05-12-18-57-13.jpg>
‎[13/5/25, 4:28:42 p. m.] Facu: Auth_Download_Voucher_5667292.pdf • ‎1 página ‎<adjunto: 00000248-Auth_Download_Voucher_5667292.pdf>
[15/5/25, 1:11:34 p. m.] Facu: Mañana hay que pagarle a Kevin en efectivo y estaria bueno cancdlarle a Pablo
[15/5/25, 1:12:14 p. m.] Facu: En la cta de Milito del santander hay plata
[15/5/25, 1:12:18 p. m.] Facu: @⁨Guido Avios⁩ coordinas
[15/5/25, 1:12:24 p. m.] Facu: Y te fijas en el financiero si queda algo mas
[15/5/25, 1:14:10 p. m.] Guido Avios: Okay! A Pablo le transferimos verdad ?
[15/5/25, 1:14:31 p. m.] Facu: Si señor
[15/5/25, 2:06:50 p. m.] Facu: Le vamos a sacar 200k a Brian mañana 
Puede ser efectivo o transferencia
[15/5/25, 2:07:09 p. m.] Facu: Avisenme depende como vengan cobranzas que le mandamos
[15/5/25, 2:07:31 p. m.] Facu: Calzon quitao paga el rto al mercado pago
Aprox 1 palo
Seguro sea martes
[15/5/25, 2:07:41 p. m.] Facu: @⁨Guido Avios⁩ esta info sumala al excel del financiero
‎[15/5/25, 5:27:09 p. m.] Facu: Auth_Download_Voucher_5701125.pdf • ‎1 página ‎<adjunto: 00000259-Auth_Download_Voucher_5701125.pdf>
[15/5/25, 5:27:14 p. m.] Facu: esto lo transfiero
[15/5/25, 5:27:43 p. m.] Facu: esto que este preparado que lo busca
‎[15/5/25, 6:36:44 p. m.] Facu: sueldo mati. Pasarle total a el ‎<adjunto: 00000262-PHOTO-2025-05-15-18-36-44.jpg>
‎[16/5/25, 1:02:13 p. m.] Facu: ‎<adjunto: 00000263-PHOTO-2025-05-16-13-02-13.jpg>
[16/5/25, 1:02:13 p. m.] Facu: Pago a brian
Me pasas saldo de cuenta
‎[19/5/25, 10:47:26 a. m.] Facu: Captura de Pantalla 2025-05-19 a la(s) 10.46.21.png ‎<adjunto: 00000265-Captura de Pantalla 2025-05-19 a la(s) 10.46.21.png>
‎[19/5/25, 12:25:14 p. m.] Guido Avios: ‎<adjunto: 00000266-PHOTO-2025-05-19-12-25-14.jpg>
[19/5/25, 12:25:15 p. m.] Guido Avios: Dos chques que fueron para Markplast ($1.126.666)
‎[19/5/25, 1:16:09 p. m.] Guido Avios: Cheque para Acuario ‎<adjunto: 00000268-PHOTO-2025-05-19-13-16-09.jpg>
‎[20/5/25, 5:23:50 p. m.] Facu: Firmado eheq para Diego. Es el de koxis ‎<adjunto: 00000269-PHOTO-2025-05-20-17-23-50.jpg>
[20/5/25, 5:26:42 p. m.] Facu: Hay que mandar $500.000 al santander para cubrir el credito
Mandas desde mp @⁨Guido Avios⁩
‎[20/5/25, 5:27:33 p. m.] Facu: 2025-05-20__CuotaN°_1_PréstamoN°_039100595253.pdf • ‎1 página ‎<adjunto: 00000271-2025-05-20__CuotaN°_1_PréstamoN°_039100595253.pdf>
[20/5/25, 5:27:44 p. m.] Facu: prestamo fefer
[20/5/25, 5:28:06 p. m.] Guido Avios: El que vence mañana ?
[20/5/25, 5:39:34 p. m.] Facu: El 22 vence
[20/5/25, 5:39:35 p. m.] Facu: Pero si
‎[20/5/25, 5:50:41 p. m.] Facu: Moto leo ‎<adjunto: 00000276-PHOTO-2025-05-20-17-50-41.jpg>
[22/5/25, 11:42:22 a. m.] Guido Avios: a carvi le pagamos $1.524.000
‎[22/5/25, 12:39:40 p. m.] Guido Avios: polimero tinna75 ‎<adjunto: 00000278-PHOTO-2025-05-22-12-39-40.jpg>
‎[22/5/25, 4:21:45 p. m.] Guido Avios: Cheque 1835 a Nico badanas ‎<adjunto: 00000279-PHOTO-2025-05-22-16-21-45.jpg>
‎[23/5/25, 2:55:25 p. m.] Guido Avios: Se le pago a brian pp ! ‎<adjunto: 00000280-PHOTO-2025-05-23-14-55-25.jpg>
[23/5/25, 2:55:39 p. m.] Guido Avios: esto es por kirplastic! no lo aclaré perdón
‎[23/5/25, 5:39:44 p. m.] Facu: Flete ‎<adjunto: 00000282-PHOTO-2025-05-23-17-39-44.jpg>
[23/5/25, 5:40:17 p. m.] Facu: Por que ese monto?
‎[26/5/25, 12:16:53 p. m.] Guido Avios: le pagamos a Camilo las etiquetas de los chicos ‎<adjunto: 00000284-PHOTO-2025-05-26-12-16-53.jpg>
‎[26/5/25, 2:23:26 p. m.] Guido Avios: ‎<adjunto: 00000285-PHOTO-2025-05-26-14-23-26.jpg>
[26/5/25, 2:23:26 p. m.] Guido Avios: Pago sueldo Bruno
‎[27/5/25, 1:04:14 p. m.] Facu: Almuerzo p/vendedores ‎<adjunto: 00000287-PHOTO-2025-05-27-13-04-14.jpg>
[27/5/25, 4:26:01 p. m.] Facu: Chelo va a entregar Gabucci
[27/5/25, 4:26:23 p. m.] Facu: Deberia facturar la mitad
[27/5/25, 4:40:59 p. m.] Guido Avios: hoy ????
[27/5/25, 4:41:30 p. m.] Facu: Mañana seguro
[27/5/25, 4:41:33 p. m.] Facu: Pero atento a esto
[28/5/25, 1:43:19 p. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[28/5/25, 2:46:41 p. m.] Guido Avios: ruedo del panel ‎<adjunto: 00000294-PHOTO-2025-05-28-14-46-41.jpg>
‎[28/5/25, 2:47:50 p. m.] Guido Avios: flete ‎<adjunto: 00000295-PHOTO-2025-05-28-14-47-50.jpg>
‎[28/5/25, 2:52:49 p. m.] Guido Avios: Pago Label con cheque 1832 ‎<adjunto: 00000296-PHOTO-2025-05-28-14-52-49.jpg>
‎[28/5/25, 2:54:08 p. m.] Guido Avios: Pago Kirplastic con cheque 1834 ‎<adjunto: 00000297-PHOTO-2025-05-28-14-54-08.jpg>
‎[28/5/25, 2:55:59 p. m.] Guido Avios: Pago a printmax cheque 1827 y efectivo $110.600 ‎<adjunto: 00000298-PHOTO-2025-05-28-14-55-59.jpg>
‎[29/5/25, 9:07:23 a. m.] Guido Avios: ‎<adjunto: 00000299-PHOTO-2025-05-29-09-07-23.jpg>
[29/5/25, 9:07:23 a. m.] Guido Avios: Pago 
a Markplast
[29/5/25, 12:57:37 p. m.] Guido Avios: le pagamos 200k en efectivo a braian
‎[29/5/25, 5:02:41 p. m.] Guido Avios: Mati me pidio un Adelanto de 30 MIL ‎<adjunto: 00000302-PHOTO-2025-05-29-17-02-41.jpg>
[29/5/25, 5:03:25 p. m.] Facu: Perff
‎[30/5/25, 12:25:37 p. m.] Guido Avios: le pagamos a moto leo ‎<adjunto: 00000304-PHOTO-2025-05-30-12-25-37.jpg>
‎[30/5/25, 12:32:44 p. m.] Guido Avios: mercadopago_comprobante_113317944574.pdf • ‎1 página ‎<adjunto: 00000305-mercadopago_comprobante_113317944574.pdf>
‎[30/5/25, 1:55:57 p. m.] Guido Avios: pago Polimero jamachi ‎<adjunto: 00000306-PHOTO-2025-05-30-13-55-57.jpg>
‎[2/6/25, 10:35:28 a. m.] Guido Avios: Adelanto sueldo de achu (pague desde mi cuenta después lo compenso ) ‎<adjunto: 00000307-PHOTO-2025-06-02-10-35-28.jpg>
‎[2/6/25, 10:49:57 a. m.] Guido Avios: mercadopago_comprobante_113622123378.pdf • ‎1 página ‎<adjunto: 00000308-mercadopago_comprobante_113622123378.pdf>
‎[2/6/25, 10:53:10 a. m.] Guido Avios: mercadopago_comprobante_payment-113623033994.pdf • ‎1 página ‎<adjunto: 00000309-mercadopago_comprobante_payment-113623033994.pdf>
‎[2/6/25, 10:55:29 a. m.] Guido Avios: mercadopago_comprobante_113623464168.pdf • ‎1 página ‎<adjunto: 00000310-mercadopago_comprobante_113623464168.pdf>
‎[2/6/25, 10:59:33 a. m.] Guido Avios: mercadopago_comprobante_payment-113623972468.pdf • ‎1 página ‎<adjunto: 00000311-mercadopago_comprobante_payment-113623972468.pdf>
‎[2/6/25, 11:09:42 a. m.] Guido Avios: mercadopago_comprobante_113152839773.pdf • ‎1 página ‎<adjunto: 00000312-mercadopago_comprobante_113152839773.pdf>
‎[2/6/25, 11:58:07 a. m.] Guido Avios: mercadopago_comprobante_payment-113631064902.pdf • ‎1 página ‎<adjunto: 00000313-mercadopago_comprobante_payment-113631064902.pdf>
‎[2/6/25, 12:00:44 p. m.] Guido Avios: mercadopago_comprobante_113630899022.pdf • ‎1 página ‎<adjunto: 00000314-mercadopago_comprobante_113630899022.pdf>
[2/6/25, 12:06:33 p. m.] Guido Avios: Sueldo Guido
‎[2/6/25, 2:24:52 p. m.] Guido Avios: DetalleEcheque-V87945OW7LE2PEY-Endosados-20250602.pdf • ‎2 páginas ‎<adjunto: 00000316-DetalleEcheque-V87945OW7LE2PEY-Endosados-20250602.pdf>
‎[2/6/25, 4:57:48 p. m.] Facu: Comisiones Guillle ‎<adjunto: 00000317-PHOTO-2025-06-02-16-57-48.jpg>
‎[2/6/25, 5:05:07 p. m.] Facu: Comision Agus ‎<adjunto: 00000318-PHOTO-2025-06-02-17-05-07.jpg>
[3/6/25, 10:15:08 a. m.] Guido Avios: carvi $1.261.250 en efectivo
‎[3/6/25, 10:26:18 a. m.] Guido Avios: pago polimeros de Juanita ‎<adjunto: 00000320-PHOTO-2025-06-03-10-26-18.jpg>
‎[4/6/25, 9:42:01 a. m.] Guido Avios: se le pago al flete ‎<adjunto: 00000321-PHOTO-2025-06-04-09-42-01.jpg>
‎[4/6/25, 2:11:00 p. m.] Guido Avios: Comp_113413149707.pdf • ‎1 página ‎<adjunto: 00000322-Comp_113413149707.pdf>
‎[5/6/25, 4:11:13 p. m.] Facu: Caro limpia ori ‎<adjunto: 00000323-PHOTO-2025-06-05-16-11-13.jpg>
‎[6/6/25, 1:44:19 p. m.] Facu: Pago a Sergio ‎<adjunto: 00000324-PHOTO-2025-06-06-13-44-19.jpg>
‎[6/6/25, 1:57:08 p. m.] Guido Avios: Pago a Markplast cheque 1844 ‎<adjunto: 00000325-PHOTO-2025-06-06-13-57-08.jpg>
‎[6/6/25, 1:57:52 p. m.] Guido Avios: Pago a Kirplastic 
Cheques 1842 y 1841 ‎<adjunto: 00000326-PHOTO-2025-06-06-13-57-52.jpg>
‎[6/6/25, 2:39:28 p. m.] Guido Avios: pago a achu ‎<adjunto: 00000327-PHOTO-2025-06-06-14-39-28.jpg>
‎[6/6/25, 2:48:46 p. m.] Guido Avios: pago a mati (compras de coto) ‎<adjunto: 00000328-PHOTO-2025-06-06-14-48-46.jpg>
‎[6/6/25, 3:21:30 p. m.] Facu: Me pague ‎<adjunto: 00000329-PHOTO-2025-06-06-15-21-30.jpg>
‎[6/6/25, 4:07:14 p. m.] Guido Avios: pago tarjeta amex en su totalidad ‎<adjunto: 00000330-PHOTO-2025-06-06-16-07-14.jpg>
‎[6/6/25, 4:15:30 p. m.] Guido Avios: pago saldo en dolares Visa ‎<adjunto: 00000331-PHOTO-2025-06-06-16-15-30.jpg>
‎[6/6/25, 4:20:15 p. m.] Guido Avios: pago tarjeta visa ‎<adjunto: 00000332-PHOTO-2025-06-06-16-20-15.jpg>
‎[9/6/25, 12:57:54 p. m.] Guido Avios: flete diego ‎<adjunto: 00000333-PHOTO-2025-06-09-12-57-54.jpg>
‎[9/6/25, 1:16:39 p. m.] Guido Avios: pago aysa ‎<adjunto: 00000334-PHOTO-2025-06-09-13-16-39.jpg>
[9/6/25, 3:04:24 p. m.] Guido Avios: le pagamos a carvi 1.559.000 en efectivo
‎[9/6/25, 3:53:08 p. m.] Guido Avios: se le devolvió la seña a el irlandes ‎<adjunto: 00000336-PHOTO-2025-06-09-15-53-08.jpg>
‎[10/6/25, 10:47:46 a. m.] Guido Avios: Pago a martina (hilo + alfileres) ‎<adjunto: 00000337-PHOTO-2025-06-10-10-47-46.jpg>
‎[10/6/25, 4:57:33 p. m.] Guido Avios: cafe caiu + mile ‎<adjunto: 00000338-PHOTO-2025-06-10-16-57-33.jpg>
‎[10/6/25, 4:58:23 p. m.] Guido Avios: cafe vendedores ‎<adjunto: 00000339-PHOTO-2025-06-10-16-58-23.jpg>
‎[10/6/25, 5:00:08 p. m.] Guido Avios: flete ‎<adjunto: 00000340-PHOTO-2025-06-10-17-00-08.jpg>
‎[10/6/25, 5:01:00 p. m.] Guido Avios: catalogo ‎<adjunto: 00000341-PHOTO-2025-06-10-17-01-00.jpg>
[11/6/25, 10:53:46 a. m.] Guido Avios: Se pago $90.045,04 de ABL junio con la tarjeta de debito
[11/6/25, 11:18:28 a. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[11/6/25, 1:18:08 p. m.] Facu: Facu sueldo ‎<adjunto: 00000344-PHOTO-2025-06-11-13-18-08.jpg>
‎[11/6/25, 2:14:33 p. m.] Guido Avios: Cheque 1845 a kirplastic ‎<adjunto: 00000345-PHOTO-2025-06-11-14-14-33.jpg>
‎[11/6/25, 2:15:11 p. m.] Guido Avios: Cheque 1852 a markplast ‎<adjunto: 00000346-PHOTO-2025-06-11-14-15-11.jpg>
‎[11/6/25, 2:42:54 p. m.] Guido Avios: e cheque para markplast ‎<adjunto: 00000347-PHOTO-2025-06-11-14-42-54.jpg>
‎[11/6/25, 2:43:27 p. m.] Guido Avios: echeque para acuario ‎<adjunto: 00000348-PHOTO-2025-06-11-14-43-27.jpg>
[11/6/25, 3:26:47 p. m.] Guido Avios: ‎Se eliminó este mensaje.
‎[11/6/25, 3:46:51 p. m.] Guido Avios: pago a natalfim ‎<adjunto: 00000350-PHOTO-2025-06-11-15-46-51.jpg>
‎[12/6/25, 9:46:39 a. m.] Guido Avios: gastos ofi ‎<adjunto: 00000351-PHOTO-2025-06-12-09-46-39.jpg>
‎[12/6/25, 2:08:42 p. m.] Guido Avios: Comp_114875396788.pdf • ‎1 página ‎documento omitido
‎[12/6/25, 3:44:01 p. m.] Guido Avios: nafta Caiu ‎<adjunto: 00000353-PHOTO-2025-06-12-15-44-01.jpg>
‎[12/6/25, 4:41:19 p. m.] Guido Avios: Le pagamos a Brian $340.938,6 con ‎<adjunto: 00000354-PHOTO-2025-06-12-16-41-19.jpg>
‎[13/6/25, 11:37:16 a. m.] Facu: Caro limpia ofi ‎<adjunto: 00000355-PHOTO-2025-06-13-11-37-16.jpg>
‎[13/6/25, 1:11:46 p. m.] Guido Avios: camilo ( adhesivos de cacho + etiquetas vendedores) ‎<adjunto: 00000356-PHOTO-2025-06-13-13-11-46.jpg>
‎[13/6/25, 2:19:57 p. m.] Facu: Auth_Download_Voucher_6086205.pdf • ‎1 página ‎<adjunto: 00000357-Auth_Download_Voucher_6086205.pdf>
[13/6/25, 2:20:14 p. m.] Facu: honorario Gasti
‎[13/6/25, 3:16:35 p. m.] Guido Avios: adelanto Guille ‎<adjunto: 00000359-PHOTO-2025-06-13-15-16-35.jpg>
‎[13/6/25, 3:17:44 p. m.] Guido Avios: polimero octane ‎<adjunto: 00000360-PHOTO-2025-06-13-15-17-44.jpg>
‎[13/6/25, 3:19:15 p. m.] Guido Avios: sueldo guido ‎<adjunto: 00000361-PHOTO-2025-06-13-15-19-15.jpg>
‎[17/6/25, 12:36:27 p. m.] Guido Avios: vino + bolsa ‎<adjunto: 00000362-PHOTO-2025-06-17-12-36-27.jpg>
‎[17/6/25, 1:19:23 p. m.] Guido Avios: sueldo facu ‎<adjunto: 00000363-PHOTO-2025-06-17-13-19-23.jpg>
‎[17/6/25, 3:02:31 p. m.] Guido Avios: documento.pdf • ‎2 páginas ‎<adjunto: 00000364-documento.pdf>
‎[17/6/25, 3:05:56 p. m.] Facu: Transf a mp ‎<adjunto: 00000365-PHOTO-2025-06-17-15-05-56.jpg>
‎[17/6/25, 3:18:13 p. m.] Guido Avios: 2025-06-17__CuotaN°_2_PréstamoN°_039100595253.pdf • ‎1 página ‎<adjunto: 00000366-2025-06-17__CuotaN°_2_PréstamoN°_039100595253.pdf>
‎[17/6/25, 3:26:44 p. m.] Guido Avios: pago bolsas ‎<adjunto: 00000367-PHOTO-2025-06-17-15-26-44.jpg>
‎[17/6/25, 4:46:19 p. m.] Guido Avios: mercadopago_comprobante_115455061808.pdf • ‎1 página ‎<adjunto: 00000368-mercadopago_comprobante_115455061808.pdf>
‎[18/6/25, 11:04:25 a. m.] Guido Avios: compras para armar el catalogo ‎<adjunto: 00000369-PHOTO-2025-06-18-11-04-25.jpg>
‎[18/6/25, 1:15:02 p. m.] Guido Avios: compras para el catalgoo ‎<adjunto: 00000370-PHOTO-2025-06-18-13-15-02.jpg>
‎[18/6/25, 3:24:17 p. m.] Guido Avios: Auth_Download_Voucher_6132870.pdf • ‎1 página ‎<adjunto: 00000371-Auth_Download_Voucher_6132870.pdf>
[18/6/25, 3:27:25 p. m.] Facu: Tenian plata a favor
[18/6/25, 3:27:27 p. m.] Facu: 😬
[18/6/25, 3:27:49 p. m.] Guido Avios: es el pago a alex
[18/6/25, 3:28:01 p. m.] Facu: Si
[18/6/25, 3:28:17 p. m.] Guido Avios: no sabía
‎[19/6/25, 1:11:20 p. m.] Guido Avios: ‎<adjunto: 00000377-PHOTO-2025-06-19-13-11-20.jpg>
[19/6/25, 1:11:20 p. m.] Guido Avios: Pago a Labels con 3 chequees
‎[19/6/25, 2:41:18 p. m.] Facu: ‎<adjunto: 00000379-PHOTO-2025-06-19-14-41-17.jpg>
[19/6/25, 2:41:18 p. m.] Facu: Cheques para markplast
‎[19/6/25, 2:48:26 p. m.] Guido Avios: Acuario ‎<adjunto: 00000381-PHOTO-2025-06-19-14-48-26.jpg>
‎[19/6/25, 3:37:12 p. m.] Guido Avios: Adelanto del sueldo de Mati ‎<adjunto: 00000382-PHOTO-2025-06-19-15-37-12.jpg>
‎[19/6/25, 3:57:19 p. m.] Guido Avios: moto ‎<adjunto: 00000383-PHOTO-2025-06-19-15-57-19.jpg>
‎[19/6/25, 3:58:32 p. m.] Guido Avios: pago arreglo de muestra codite ‎<adjunto: 00000384-PHOTO-2025-06-19-15-58-32.jpg>
‎[19/6/25, 3:59:17 p. m.] Guido Avios: alquiler facu ‎<adjunto: 00000385-PHOTO-2025-06-19-15-59-17.jpg>
‎[19/6/25, 4:18:21 p. m.] Guido Avios: alquiler avios ‎<adjunto: 00000386-PHOTO-2025-06-19-16-18-21.jpg>
‎[23/6/25, 11:42:11 a. m.] Guido Avios: ‎<adjunto: 00000387-PHOTO-2025-06-23-11-42-11.jpg>
[23/6/25, 11:42:11 a. m.] Guido Avios: pago a chelo con estos cheques + echqeue
‎[23/6/25, 11:42:12 a. m.] Guido Avios: ‎<adjunto: 00000389-PHOTO-2025-06-23-11-42-12.jpg>
[23/6/25, 11:47:02 a. m.] Facu: Avisame si necesitas codigo
[23/6/25, 11:48:01 a. m.] Guido Avios: todavía no s elo mande
‎[23/6/25, 3:15:44 p. m.] Guido Avios: pago de vinilos para la bolsa crear ‎<adjunto: 00000392-PHOTO-2025-06-23-15-15-44.jpg>
‎[24/6/25, 12:04:45 p. m.] Guido Avios: ‎<adjunto: 00000393-PHOTO-2025-06-24-12-04-45.jpg>
[24/6/25, 12:04:45 p. m.] Guido Avios: pago para printmax $556.000
‎[24/6/25, 12:40:47 p. m.] Facu: Comprobante de transferencia.pdf • ‎1 página ‎<adjunto: 00000395-Comprobante de transferencia.pdf>
[24/6/25, 12:40:47 p. m.] Facu: Expensas Facu
[24/6/25, 12:42:26 p. m.] Guido Avios: Pago A carvi $700.000 en efectivo
‎[25/6/25, 10:11:00 a. m.] Guido Avios: gastos ofi ‎<adjunto: 00000398-PHOTO-2025-06-25-10-11-00.jpg>
‎[25/6/25, 1:05:41 p. m.] Guido Avios: comprobante (2).pdf • ‎1 página ‎<adjunto: 00000399-comprobante (2).pdf>
[25/6/25, 1:40:14 p. m.] Guido Avios: fue para kirplastic al final
‎[25/6/25, 4:04:42 p. m.] Guido Avios: sueldo facu ‎<adjunto: 00000401-PHOTO-2025-06-25-16-04-42.jpg>
‎[26/6/25, 3:41:38 p. m.] Guido Avios: gastos ofi ‎<adjunto: 00000402-PHOTO-2025-06-26-15-41-38.jpg>
‎[26/6/25, 3:43:32 p. m.] Guido Avios: nafta ‎<adjunto: 00000403-PHOTO-2025-06-26-15-43-32.jpg>
‎[27/6/25, 12:25:50 p. m.] Guido Avios: Pago a braian ‎<adjunto: 00000404-PHOTO-2025-06-27-12-25-50.jpg>
‎[27/6/25, 12:30:12 p. m.] Guido Avios: pago a braian ‎<adjunto: 00000405-PHOTO-2025-06-27-12-30-12.jpg>
‎[27/6/25, 3:50:21 p. m.] Guido Avios: adelanto sueldo Bruno ‎<adjunto: 00000406-PHOTO-2025-06-27-15-50-21.jpg>
‎[27/6/25, 3:57:40 p. m.] Guido Avios: adelanto agustin ‎<adjunto: 00000407-PHOTO-2025-06-27-15-57-40.jpg>
‎[27/6/25, 4:09:52 p. m.] Guido Avios: Auth_Download_Voucher_6246175.pdf • ‎1 página ‎documento omitido
‎[27/6/25, 6:03:36 p. m.] Guido Avios: moto ‎<adjunto: 00000409-PHOTO-2025-06-27-18-03-36.jpg>
‎[27/6/25, 6:04:33 p. m.] Guido Avios: flete ‎<adjunto: 00000410-PHOTO-2025-06-27-18-04-33.jpg>
‎[29/6/25, 4:40:55 p. m.] Facu: Sueldo Facu ‎<adjunto: 00000411-PHOTO-2025-06-29-16-40-55.jpg>
‎[30/6/25, 11:18:23 a. m.] Guido Avios: cintas ‎<adjunto: 00000412-PHOTO-2025-06-30-11-18-23.jpg>
‎[30/6/25, 2:20:25 p. m.] Guido Avios: se le mando a agus por unas impresione s ‎<adjunto: 00000413-PHOTO-2025-06-30-14-20-25.jpg>
‎[30/6/25, 3:34:16 p. m.] Guido Avios: gastos varios ‎<adjunto: 00000414-PHOTO-2025-06-30-15-34-16.jpg>
‎[30/6/25, 4:00:09 p. m.] Guido Avios: ‎<adjunto: 00000415-PHOTO-2025-06-30-16-00-09.jpg>
[30/6/25, 4:00:09 p. m.] Guido Avios: Pago para Arslanian ! 
‎[30/6/25, 4:00:20 p. m.] Guido Avios: ‎<adjunto: 00000417-PHOTO-2025-06-30-16-00-20.jpg>
[30/6/25, 4:00:21 p. m.] Guido Avios: Pago para printmax 
‎[1/7/25, 10:33:47 a. m.] Guido Avios: ‎<adjunto: 00000419-PHOTO-2025-07-01-10-33-47.jpg>
[1/7/25, 10:33:47 a. m.] Guido Avios: pago para labels
‎[1/7/25, 12:10:00 p. m.] Guido Avios: polimeros ‎<adjunto: 00000421-PHOTO-2025-07-01-12-10-00.jpg>
‎[1/7/25, 1:22:09 p. m.] Guido Avios: Auth_Download_Voucher_6275470.pdf • ‎1 página ‎<adjunto: 00000422-Auth_Download_Voucher_6275470.pdf>
‎[2/7/25, 10:15:03 a. m.] Guido Avios: ‎<adjunto: 00000423-PHOTO-2025-07-02-10-15-03.jpg>
[2/7/25, 10:15:04 a. m.] Guido Avios: sueldo Achu
‎[2/7/25, 11:31:23 a. m.] Guido Avios: Comprobante de pago de tarjeta Santander.pdf • ‎1 página ‎documento omitido
‎[2/7/25, 11:48:33 a. m.] Guido Avios: Comprobante de pago de tarjeta Santander (1).pdf • ‎1 página ‎<adjunto: 00000426-Comprobante de pago de tarjeta Santander (1).pdf>
‎[2/7/25, 1:40:57 p. m.] Guido Avios: ‎<adjunto: 00000427-PHOTO-2025-07-02-13-40-57.jpg>
[2/7/25, 1:40:58 p. m.] Guido Avios: sueldo Agus!
‎[2/7/25, 1:41:16 p. m.] Guido Avios: ‎<adjunto: 00000429-PHOTO-2025-07-02-13-41-16.jpg>
[2/7/25, 1:41:17 p. m.] Guido Avios: sueldo Guille
‎[2/7/25, 1:42:37 p. m.] Guido Avios: sueldo mati ‎<adjunto: 00000431-PHOTO-2025-07-02-13-42-37.jpg>
‎[2/7/25, 1:48:40 p. m.] Guido Avios: sueldo caiu ‎<adjunto: 00000432-PHOTO-2025-07-02-13-48-40.jpg>
‎[2/7/25, 2:05:26 p. m.] Guido Avios: cabify para ir y venir de beccar ‎<adjunto: 00000433-PHOTO-2025-07-02-14-05-26.jpg>
‎[2/7/25, 2:26:45 p. m.] Guido Avios: Sueldo restante bruno ‎<adjunto: 00000434-PHOTO-2025-07-02-14-26-45.jpg>
‎[2/7/25, 3:22:28 p. m.] Guido Avios: sueldo mile + monotributo ‎<adjunto: 00000435-PHOTO-2025-07-02-15-22-28.jpg>
‎[2/7/25, 3:30:01 p. m.] Guido Avios: MetroGAS - Detalle de pago 9215534314.pdf • ‎1 página ‎<adjunto: 00000436-MetroGAS - Detalle de pago 9215534314.pdf>
‎[2/7/25, 3:35:55 p. m.] Guido Avios: Pago ays a ‎<adjunto: 00000437-PHOTO-2025-07-02-15-35-55.jpg>
‎[2/7/25, 3:41:46 p. m.] Guido Avios: Auth_Download_Voucher_6306129.pdf • ‎1 página ‎<adjunto: 00000438-Auth_Download_Voucher_6306129.pdf>
‎[2/7/25, 4:47:37 p. m.] Guido Avios: comisiones Guille Junio ‎<adjunto: 00000439-PHOTO-2025-07-02-16-47-37.jpg>
‎[3/7/25, 9:34:55 a. m.] Guido Avios: comisiones agus junio ‎<adjunto: 00000440-PHOTO-2025-07-03-09-34-55.jpg>
[3/7/25, 1:58:05 p. m.] Guido Avios: le pagamos a carvi $650.000 en efectivo
‎[4/7/25, 5:05:57 p. m.] Guido Avios: pago de la tarjeta visa santander ‎<adjunto: 00000442-PHOTO-2025-07-04-17-05-57.jpg>
‎[4/7/25, 5:15:45 p. m.] Guido Avios: pago tarjeta amex ‎<adjunto: 00000443-PHOTO-2025-07-04-17-15-45.jpg>
‎[7/7/25, 11:44:53 a. m.] Guido Avios: flete ‎<adjunto: 00000444-PHOTO-2025-07-07-11-44-53.jpg>
‎[7/7/25, 12:33:18 p. m.] Guido Avios: pago a kirplastic ! ‎<adjunto: 00000445-PHOTO-2025-07-07-12-33-18.jpg>
‎[7/7/25, 2:36:44 p. m.] Guido Avios: ‎<adjunto: 00000446-PHOTO-2025-07-07-14-36-44.jpg>
[7/7/25, 2:36:49 p. m.] Guido Avios: pago a chelo
‎[8/7/25, 9:54:25 a. m.] Guido Avios: gastos varios ‎<adjunto: 00000448-PHOTO-2025-07-08-09-54-25.jpg>
‎[8/7/25, 9:54:42 a. m.] Guido Avios: ‎<adjunto: 00000449-PHOTO-2025-07-08-09-54-42.jpg>
[8/7/25, 9:54:42 a. m.] Guido Avios: pago a printmax
‎[8/7/25, 9:55:58 a. m.] Guido Avios: impresiones ‎<adjunto: 00000451-PHOTO-2025-07-08-09-55-58.jpg>
‎[8/7/25, 3:58:48 p. m.] Guido Avios: ‎<adjunto: 00000452-PHOTO-2025-07-08-15-58-48.jpg>
[8/7/25, 3:58:49 p. m.] Guido Avios: pago a braian pp
‎[10/7/25, 12:02:37 p. m.] Guido Avios: caro limpeiza ‎<adjunto: 00000454-PHOTO-2025-07-10-12-02-37.jpg>
[10/7/25, 2:41:11 p. m.] Guido Avios: Pago a carvi en efectivo 700.000
‎[11/7/25, 12:37:13 p. m.] Guido Avios: flete ‎<adjunto: 00000456-PHOTO-2025-07-11-12-37-13.jpg>
‎[11/7/25, 1:57:24 p. m.] Guido Avios: Pago markplasy ‎<adjunto: 00000457-PHOTO-2025-07-11-13-57-24.jpg>
‎[14/7/25, 12:41:29 p. m.] Guido Avios: flete ‎<adjunto: 00000458-PHOTO-2025-07-14-12-41-29.jpg>
‎[14/7/25, 2:05:16 p. m.] Guido Avios: pago a natalfim ‎<adjunto: 00000459-PHOTO-2025-07-14-14-05-16.jpg>
